,house id,number of crimes,Assault,Breaking & Entering,Drugs,Property Crime,Robbery,Theft,Theft from Vehicle,Theft of Vehicle
415,3426059070,57,3.0,17.0,1.0,14.0,1.0,5.0,12.0,4.0
416,824079032,52,4.0,21.0,,5.0,,3.0,13.0,6.0
417,2697100140,1,,,,1.0,,,,
418,8724300030,18,,1.0,,5.0,,6.0,4.0,2.0
419,8678500060,27,1.0,12.0,,7.0,,1.0,6.0,
420,625049299,1,,1.0,,,,,,
421,6073200075,4,,1.0,,1.0,,,2.0,
422,6388900710,61,2.0,18.0,,8.0,,6.0,23.0,4.0
423,1442860160,1171,74.0,249.0,38.0,283.0,20.0,197.0,218.0,92.0
424,7942600310,29,4.0,4.0,3.0,6.0,3.0,5.0,,4.0
